Name,Email,Password,Age,Gender,Department,Office,Department Name,Title,Teaching Team ID,Teaching
Dr Nann Wood,nw51@nittany.edu,r403d0qn,56,M,CSE,"256, Building 18",Computer Science and Engineering,Head,37,CSE583
Dr Norton Hughes,nh89@nittany.edu,yzpp5f1t,48,F,CSE,"212, Building 18",Computer Science and Engineering,Professor,48,CSE543
Dr Russell Richardson,rr82@nittany.edu,1d7gjq5g,53,M,CMPSC,"168, Building 7",Computer Science,Head,35,CMPSC431W
Dr Halsey Lopez,hl43@nittany.edu,rq02mf0g,52,F,CMPSC,"289, Building 7",Computer Science,Professor,38,CMPSC461
Dr Dikembe Sanchez,ds51@nittany.edu,duf07wf7,47,M,CMPSC,"232, Building 7",Computer Science,Professor,5,CMPSC465
Dr Freowine Rogers,fr23@nittany.edu,5p2ex4mp,47,M,CMPSC,"105, Building 7",Computer Science,Professor,2,CMPSC448
Dr Deshawn Cox,dc80@nittany.edu,ususknvt,51,M,CMPSC,"187, Building 7",Computer Science,Professor,23,CMPSC475
Dr Gil Bell,gb44@nittany.edu,bg3kzhnv,52,M,CMPSC,"284, Building 7",Computer Science,Professor,30,CMPSC497
Dr Sheldon Cook,sc45@nittany.edu,4oioidlt,56,M,CMPSC,"253, Building 7",Computer Science,Professor,42,CMPSC131
Dr Walker Campbell,wc77@nittany.edu,gvaocvt1,58,M,CMPSC,"126, Building 7",Computer Science,Professor,25,CMPSC132
Dr Luca Torres,lt47@nittany.edu,c2hp2dd4,57,F,CMPSC,"188, Building 7",Computer Science,Professor,33,CMPSC221
Dr Royce Edwards,re79@nittany.edu,yqh493g3,48,M,CMPSC,"261, Building 7",Computer Science,Professor,13,CMPSC360
Dr Blas Butler,bb77@nittany.edu,wgqpqh2t,44,F,CMPSC,"228, Building 7",Computer Science,Professor,11,CMPSC311
Dr Jerred Martinez,jm33@nittany.edu,wmb17np1,55,F,CMPEN,"239, Building 5",Computer Engineering,Head,52,CMPEN270
Dr Wincent Peterson,wp45@nittany.edu,jqy2dgis,60,F,CMPEN,"160, Building 5",Computer Engineering,Professor,3,CMPEN331
Dr Kofi Myers,km14@nittany.edu,v9xe9cd3,46,M,CMPEN,"222, Building 5",Computer Engineering,Professor,43,CMPEN351
Dr Derwent White,dw78@nittany.edu,6v7gf9s0,59,F,CMPEN,"138, Building 5",Computer Engineering,Professor,54,CMPEN362
Dr Beauregard Moore,bm79@nittany.edu,0p3ipgfz,59,M,CMPEN,"107, Building 5",Computer Engineering,Professor,28,CMPEN411
Dr Halliwell Phillips,hp75@nittany.edu,tqsaz0vp,43,M,CMPEN,"124, Building 5",Computer Engineering,Professor,16,CMPEN431
Dr Rich Collins,rc19@nittany.edu,sx0mkxzn,49,M,CMPEN,"142, Building 5",Computer Engineering,Professor,24,CMPEN441
Dr Ford Price,fp60@nittany.edu,jtoamzax,56,F,CMPEN,"189, Building 5",Computer Engineering,Professor,47,CMPEN454
Dr Merle Hill,mh50@nittany.edu,m18o3u41,60,M,EE,"180, Building 13",Electrical and Electronics Engineering,Head,44,EE210
Dr Thatcher Jenkins,tj11@nittany.edu,jxxciuc9,52,M,EE,"296, Building 13",Electrical and Electronics Engineering,Professor,4,EE211
Dr Arlie Adams,aa18@nittany.edu,dc06u9nm,60,F,EE,"131, Building 13",Electrical and Electronics Engineering,Professor,40,EE212
Dr Aspen Brown,ab29@nittany.edu,s6ali6hq,49,F,EE,"276, Building 13",Electrical and Electronics Engineering,Professor,6,EE311
Dr Raimy Perez,rp45@nittany.edu,44j06cnw,53,M,EE,"152, Building 13",Electrical and Electronics Engineering,Professor,26,EE320
Dr Cassidy Gomez,cg89@nittany.edu,diy0nmdr,44,F,EE,"149, Building 13",Electrical and Electronics Engineering,Professor,53,EE330
Dr Baldwin Roberts,br31@nittany.edu,6cbbt7ot,42,F,EE,"293, Building 13",Electrical and Electronics Engineering,Professor,17,EE340
Dr Searles Williams,sw32@nittany.edu,29cu0i4q,53,F,EE,"219, Building 13",Electrical and Electronics Engineering,Professor,15,EE352
Dr Karol Hodgson,kh18@nittany.edu,a4827x3j,46,M,EE,"144, Building 13",Electrical and Electronics Engineering,Professor,19,EE353
Dr Jackie Carpenter,jc66@nittany.edu,55ycoqop,47,F,MATH,"181, Building 12",Mathematics,Head,36,MATH140
Dr Casimiro Young,cy98@nittany.edu,l9q4tta8,41,F,MATH,"277, Building 12",Mathematics,Professor,41,MATH141
Dr Virginia Hines,vh43@nittany.edu,tslak1a6,45,F,MATH,"268, Building 12",Mathematics,Professor,50,MATH230
Dr Bethel Hawkins,bh63@nittany.edu,d1uz3aya,44,M,MATH,"294, Building 12",Mathematics,Professor,45,MATH231
Dr Addai Reyes,ar69@nittany.edu,mpe2olmx,48,F,PHYS,"174, Building 8",Physics,Head,12,PHYS211
Dr Erasmo Martin,em34@nittany.edu,ebtz2fob,50,F,PHYS,"127, Building 8",Physics,Professor,49,PHYS212
Dr Mikelle Parry,mp11@nittany.edu,2koidnt2,41,M,PHYS,"182, Building 8",Physics,Professor,14,PHYS213
Dr Buddy Sutherland,bs39@nittany.edu,845bd92l,57,M,PHYS,"175, Building 8",Physics,Professor,29,PHYS214
